"group","year","sector","max_abs_coefficient_difference","sum_energy_coefficient_base","sum_energy_coefficient_current","sum_energy_coefficient_price_form"
"other_industry",2040,"S17",0,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2040,"S18",0,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2040,"S23",0,0.0869993130804171,0.0869993130804171,0.0869993130804171
"other_industry",2040,"S25",2.16840434497101e-19,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2040,"S26",0,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2040,"S27",3.46944695195361e-18,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2040,"S30",3.46944695195361e-18,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2040,"S31",8.67361737988404e-19,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2040,"S32",2.16840434497101e-19,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2040,"S33",0,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2040,"S34",2.16840434497101e-19,0.00844192860146033,0.00844192860146033,0.00844192860146033
"other_industry",2040,"S35",4.33680868994202e-19,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2040,"S36",8.67361737988404e-19,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2040,"S37",0,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2040,"S38",0,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2040,"S39",8.67361737988404e-19,0.00833081505142257,0.00833081505142257,0.00833081505142257
"other_industry",2045,"S10",1.73472347597681e-18,0.024844917214746,0.024844917214746,0.0248449172147461
"other_industry",2045,"S11",1.73472347597681e-18,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2045,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2045,"S13",1.35525271560688e-20,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2045,"S14",2.16840434497101e-19,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2045,"S15",1.35525271560688e-20,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2045,"S16",1.73472347597681e-18,0.0377437405576891,0.0377437405576891,0.0377437405576891
